기준일,요일,성별,연령대,시도,시군구,읍면동,업종,통화건수
20190101,화,남,40대,서울특별시,강남구,대치동,중국집,5
20190101,화,남,40대,서울특별시,강남구,개포동,중국집,5
20190101,화,남,30대,서울특별시,강남구,압구정동,중국집,5
20190101,화,남,30대,서울특별시,강남구,세곡동,중국집,6
20190101,화,여,60대이상,서울특별시,강남구,논현동,중국집,8
20190101,화,여,50대,서울특별시,강남구,압구정동,중국집,5
20190101,화,여,50대,서울특별시,강남구,수서동,중국집,5
20190101,화,여,50대,서울특별시,강남구,논현동,중국집,21
20190101,화,여,40대,서울특별시,강남구,역삼동,중국집,35
20190101,화,여,40대,서울특별시,강남구,압구정동,중국집,5
20190101,화,여,40대,서울특별시,강남구,도곡동,중국집,5
20190101,화,여,40대,서울특별시,강남구,개포동,중국집,5
20190101,화,남,10대,서울특별시,강남구,논현동,중국집,5
20190101,화,여,30대,서울특별시,강남구,역삼동,중국집,24
20190101,화,여,30대,서울특별시,강남구,압구정동,중국집,5
20190101,화,여,30대,서울특별시,강남구,세곡동,중국집,5
20190101,화,여,30대,서울특별시,강남구,논현동,중국집,24
20190101,화,여,20대,서울특별시,강남구,역삼동,중국집,12
20190101,화,여,20대,서울특별시,강남구,삼성동,중국집,13
20190101,화,남,20대,서울특별시,강남구,개포동,중국집,5
20190101,화,남,10대,서울특별시,강남구,삼성동,중국집,6
20190101,화,남,20대,서울특별시,강남구,논현동,중국집,15
20190101,화,남,20대,서울특별시,강남구,대치동,중국집,5
20190101,화,남,20대,서울특별시,강남구,도곡동,중국집,5
20190101,화,남,20대,서울특별시,강남구,역삼동,중국집,18
20190101,화,남,10대,서울특별시,강남구,역삼동,중국집,5
20190101,화,여,60대이상,서울특별시,강남구,역삼동,중국집,9
20190101,화,여,60대이상,서울특별시,강남구,세곡동,중국집,5
20190101,화,여,20대,서울특별시,강남구,논현동,중국집,12
20190101,화,여,20대,서울특별시,강남구,개포동,중국집,5
20190101,화,여,10대,서울특별시,강남구,역삼동,중국집,5
20190101,화,여,10대,서울특별시,강남구,삼성동,중국집,5
20190101,화,남,60대이상,서울특별시,강남구,세곡동,중국집,5
20190101,화,남,60대이상,서울특별시,강남구,삼성동,중국집,19
20190101,화,남,60대이상,서울특별시,강남구,논현동,중국집,11
20190101,화,남,60대이상,서울특별시,강남구,개포동,중국집,5
20190101,화,남,50대,서울특별시,강남구,일원동,중국집,5
20190101,화,남,50대,서울특별시,강남구,삼성동,중국집,42
20190101,화,남,50대,서울특별시,강남구,도곡동,중국집,5
20190101,화,남,50대,서울특별시,강남구,논현동,중국집,23
20190101,화,남,50대,서울특별시,강남구,개포동,중국집,5
20190101,화,남,40대,서울특별시,강남구,역삼동,중국집,24
20190101,화,남,40대,서울특별시,강남구,세곡동,중국집,5
20190101,화,남,30대,서울특별시,강남구,논현동,중국집,44
20190101,화,여,50대,서울특별시,강남구,세곡동,중국집,5
20190101,화,여,50대,서울특별시,강남구,삼성동,중국집,41
20190101,화,여,50대,서울특별시,강남구,도곡동,중국집,5
20190101,화,여,50대,서울특별시,강남구,개포동,중국집,5
20190101,화,여,40대,서울특별시,강남구,일원동,중국집,5
20190101,화,여,40대,서울특별시,강남구,수서동,중국집,5
20190101,화,여,40대,서울특별시,강남구,세곡동,중국집,5
20190101,화,여,40대,서울특별시,강남구,삼성동,중국집,77
20190101,화,여,40대,서울특별시,강남구,대치동,중국집,5
20190101,화,여,40대,서울특별시,강남구,논현동,중국집,31
20190101,화,여,30대,서울특별시,강남구,삼성동,중국집,39
20190101,화,여,30대,서울특별시,강남구,도곡동,중국집,5
20190101,화,여,30대,서울특별시,강남구,개포동,중국집,5
20190101,화,여,60대이상,서울특별시,강남구,개포동,중국집,9
20190101,화,남,20대,서울특별시,강남구,삼성동,중국집,22
20190101,화,여,60대이상,서울특별시,강남구,대치동,중국집,5
20190101,화,여,60대이상,서울특별시,강남구,삼성동,중국집,31
20190101,화,여,60대이상,서울특별시,강남구,수서동,중국집,5
20190101,화,여,10대,서울특별시,강남구,세곡동,중국집,5
20190101,화,여,10대,서울특별시,강남구,논현동,중국집,5
20190101,화,여,50대,서울특별시,강남구,역삼동,중국집,11
20190101,화,남,60대이상,서울특별시,강남구,역삼동,중국집,15
20190101,화,남,60대이상,서울특별시,강남구,도곡동,중국집,5
20190101,화,남,50대,서울특별시,강남구,역삼동,중국집,31
20190101,화,남,50대,서울특별시,강남구,압구정동,중국집,5
20190101,화,남,50대,서울특별시,강남구,세곡동,중국집,5
20190101,화,남,40대,서울특별시,강남구,수서동,중국집,5
20190101,화,남,40대,서울특별시,강남구,삼성동,중국집,60
20190101,화,남,20대,서울특별시,강남구,세곡동,중국집,5
20190101,화,남,40대,서울특별시,강남구,도곡동,중국집,6
20190101,화,남,40대,서울특별시,강남구,논현동,중국집,24
20190101,화,남,30대,서울특별시,강남구,역삼동,중국집,53
20190101,화,남,30대,서울특별시,강남구,삼성동,중국집,44
20190101,화,남,30대,서울특별시,강남구,도곡동,중국집,5
20190101,화,남,60대이상,서울특별시,강동구,상일동,중국집,8
20190101,화,남,30대,서울특별시,강동구,상일동,중국집,11
20190101,화,남,40대,서울특별시,강동구,상일동,중국집,22
20190101,화,남,40대,서울특별시,강동구,성내동,중국집,46
20190101,화,남,40대,서울특별시,강동구,천호동,중국집,5
20190101,화,남,50대,서울특별시,강동구,상일동,중국집,6
20190101,화,남,50대,서울특별시,강동구,성내동,중국집,24
20190101,화,남,50대,서울특별시,강동구,암사동,중국집,5
20190101,화,남,60대이상,서울특별시,강동구,성내동,중국집,20
20190101,화,여,60대이상,서울특별시,강동구,성내동,중국집,15
20190101,화,여,60대이상,서울특별시,강동구,상일동,중국집,5
20190101,화,여,20대,서울특별시,강동구,상일동,중국집,5
20190101,화,여,30대,서울특별시,강동구,둔촌동,중국집,5
20190101,화,여,30대,서울특별시,강동구,성내동,중국집,26
20190101,화,여,40대,서울특별시,강동구,길동,중국집,5
20190101,화,남,10대,서울특별시,강동구,성내동,중국집,5
20190101,화,남,20대,서울특별시,강동구,상일동,중국집,9
20190101,화,남,20대,서울특별시,강동구,성내동,중국집,25
20190101,화,남,20대,서울특별시,강동구,천호동,중국집,5
20190101,화,남,30대,서울특별시,강동구,성내동,중국집,52
20190101,화,남,30대,서울특별시,강동구,암사동,중국집,5
20190101,화,남,30대,서울특별시,강동구,천호동,중국집,5
20190101,화,남,40대,서울특별시,강동구,암사동,중국집,5
20190101,화,여,10대,서울특별시,강동구,성내동,중국집,5
20190101,화,여,10대,서울특별시,강동구,암사동,중국집,5
