"기준일","요일","성별","연령대","시도","시군구","읍면동","업종","통화건수"
"20181201","토","여","20대","서울특별시","강남구","논현동","중국집","18"
"20181201","토","남","60대이상","서울특별시","강남구","일원동","중국집","5"
"20181201","토","남","60대이상","서울특별시","강남구","역삼동","중국집","23"
"20181201","토","남","60대이상","서울특별시","강남구","압구정동","중국집","5"
"20181201","토","남","60대이상","서울특별시","강남구","수서동","중국집","5"
"20181201","토","남","60대이상","서울특별시","강남구","세곡동","중국집","5"
"20181201","토","남","20대","서울특별시","강남구","역삼동","중국집","34"
"20181201","토","남","20대","서울특별시","강남구","도곡동","중국집","5"
"20181201","토","남","10대","서울특별시","강남구","일원동","중국집","5"
"20181201","토","여","20대","서울특별시","강남구","대치동","중국집","5"
"20181201","토","여","20대","서울특별시","강남구","삼성동","중국집","26"
"20181201","토","여","20대","서울특별시","강남구","세곡동","중국집","5"
"20181201","토","여","20대","서울특별시","강남구","압구정동","중국집","5"
"20181201","토","여","20대","서울특별시","강남구","역삼동","중국집","9"
"20181201","토","여","60대이상","서울특별시","강남구","역삼동","중국집","22"
"20181201","토","여","60대이상","서울특별시","강남구","세곡동","중국집","7"
"20181201","토","여","60대이상","서울특별시","강남구","도곡동","중국집","5"
"20181201","토","남","50대","서울특별시","강남구","수서동","중국집","5"
"20181201","토","남","50대","서울특별시","강남구","압구정동","중국집","5"
"20181201","토","여","40대","서울특별시","강남구","역삼동","중국집","80"
"20181201","토","여","40대","서울특별시","강남구","압구정동","중국집","5"
"20181201","토","여","30대","서울특별시","강남구","세곡동","중국집","12"
"20181201","토","여","30대","서울특별시","강남구","대치동","중국집","5"
"20181201","토","여","30대","서울특별시","강남구","논현동","중국집","26"
"20181201","토","여","60대이상","서울특별시","강남구","수서동","중국집","5"
"20181201","토","여","10대","서울특별시","강남구","역삼동","중국집","6"
"20181201","토","여","10대","서울특별시","강남구","세곡동","중국집","5"
"20181201","토","여","50대","서울특별시","강남구","개포동","중국집","5"
"20181201","토","여","50대","서울특별시","강남구","대치동","중국집","5"
"20181201","토","남","40대","서울특별시","강남구","수서동","중국집","5"
"20181201","토","남","40대","서울특별시","강남구","대치동","중국집","5"
"20181201","토","여","50대","서울특별시","강남구","역삼동","중국집","16"
"20181201","토","여","50대","서울특별시","강남구","도곡동","중국집","5"
"20181201","토","여","50대","서울특별시","강남구","삼성동","중국집","34"
"20181201","토","남","30대","서울특별시","강남구","역삼동","중국집","73"
"20181201","토","남","30대","서울특별시","강남구","압구정동","중국집","5"
"20181201","토","남","30대","서울특별시","강남구","수서동","중국집","5"
"20181201","토","남","30대","서울특별시","강남구","도곡동","중국집","5"
"20181201","토","남","10대","서울특별시","강남구","역삼동","중국집","5"
"20181201","토","여","40대","서울특별시","강남구","수서동","중국집","5"
"20181201","토","여","40대","서울특별시","강남구","도곡동","중국집","10"
"20181201","토","여","50대","서울특별시","강남구","세곡동","중국집","5"
"20181201","토","여","50대","서울특별시","강남구","수서동","중국집","5"
"20181201","토","남","60대이상","서울특별시","강남구","개포동","중국집","5"
"20181201","토","여","40대","서울특별시","강남구","개포동","중국집","12"
"20181201","토","남","10대","서울특별시","강남구","삼성동","중국집","12"
"20181201","토","남","20대","서울특별시","강남구","논현동","중국집","20"
"20181201","토","남","20대","서울특별시","강남구","대치동","중국집","5"
"20181201","토","남","20대","서울특별시","강남구","삼성동","중국집","41"
"20181201","토","남","20대","서울특별시","강남구","세곡동","중국집","5"
"20181201","토","남","20대","서울특별시","강남구","수서동","중국집","5"
"20181201","토","남","30대","서울특별시","강남구","개포동","중국집","5"
"20181201","토","남","30대","서울특별시","강남구","논현동","중국집","59"
"20181201","토","남","30대","서울특별시","강남구","삼성동","중국집","77"
"20181201","토","남","30대","서울특별시","강남구","세곡동","중국집","9"
"20181201","토","남","40대","서울특별시","강남구","개포동","중국집","9"
"20181201","토","남","40대","서울특별시","강남구","논현동","중국집","42"
"20181201","토","남","40대","서울특별시","강남구","도곡동","중국집","7"
"20181201","토","남","40대","서울특별시","강남구","삼성동","중국집","92"
"20181201","토","남","40대","서울특별시","강남구","세곡동","중국집","5"
"20181201","토","남","40대","서울특별시","강남구","역삼동","중국집","65"
"20181201","토","남","50대","서울특별시","강남구","개포동","중국집","5"
"20181201","토","남","50대","서울특별시","강남구","논현동","중국집","25"
"20181201","토","남","50대","서울특별시","강남구","대치동","중국집","5"
"20181201","토","남","50대","서울특별시","강남구","도곡동","중국집","5"
"20181201","토","남","50대","서울특별시","강남구","삼성동","중국집","64"
