"기준일","요일","성별","연령대","시도","시군구","읍면동","업종","통화건수"
"20180901","토","남","10대","서울특별시","강남구","개포동","치킨","5"
"20180901","토","남","10대","서울특별시","강남구","대치동","치킨","5"
"20180901","토","남","10대","서울특별시","강남구","세곡동","치킨","5"
"20180901","토","남","10대","서울특별시","강남구","논현동","치킨","20"
"20180901","토","남","20대","서울특별시","강남구","논현동","치킨","42"
"20180901","토","남","20대","서울특별시","강남구","도곡동","치킨","5"
"20180901","토","남","20대","서울특별시","강남구","삼성동","치킨","67"
"20180901","토","남","20대","서울특별시","강남구","수서동","치킨","5"
"20180901","토","남","20대","서울특별시","강남구","역삼동","치킨","81"
"20180901","토","남","30대","서울특별시","강남구","대치동","치킨","5"
"20180901","토","남","30대","서울특별시","강남구","세곡동","치킨","5"
"20180901","토","남","30대","서울특별시","강남구","수서동","치킨","5"
"20180901","토","남","10대","서울특별시","강남구","역삼동","치킨","19"
"20180901","토","남","30대","서울특별시","강남구","역삼동","치킨","90"
"20180901","토","남","40대","서울특별시","강남구","논현동","치킨","51"
"20180901","토","남","40대","서울특별시","강남구","세곡동","치킨","5"
"20180901","토","남","40대","서울특별시","강남구","역삼동","치킨","84"
"20180901","토","남","40대","서울특별시","강남구","일원동","치킨","5"
"20180901","토","남","30대","서울특별시","강남구","압구정동","치킨","5"
"20180901","토","남","20대","서울특별시","강남구","개포동","치킨","5"
"20180901","토","남","40대","서울특별시","강남구","개포동","치킨","5"
"20180901","토","남","40대","서울특별시","강남구","도곡동","치킨","5"
"20180901","토","남","50대","서울특별시","강남구","삼성동","치킨","30"
"20180901","토","남","50대","서울특별시","강남구","세곡동","치킨","5"
"20180901","토","남","60대이상","서울특별시","강남구","삼성동","치킨","17"
"20180901","토","남","60대이상","서울특별시","강남구","압구정동","치킨","5"
"20180901","토","남","50대","서울특별시","강남구","역삼동","치킨","36"
"20180901","토","여","10대","서울특별시","강남구","논현동","치킨","14"
"20180901","토","여","10대","서울특별시","강남구","삼성동","치킨","19"
"20180901","토","여","10대","서울특별시","강남구","세곡동","치킨","5"
"20180901","토","여","10대","서울특별시","강남구","압구정동","치킨","5"
"20180901","토","여","10대","서울특별시","강남구","일원동","치킨","5"
"20180901","토","남","40대","서울특별시","강남구","수서동","치킨","8"
